player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,608,298,-2.512347252289391,-.5118508689715321,-3.024198121260923,-1.270675211366275,-3.758688233117803,-5.029363444484078,-2.414075096645612,-1.226555055251408,-3.640630151897021,-.133793884453494,-.133793884453494,0,-1.752673420083601,-1.751099515538019,-3.50377293562162,-1.208361801883697
Steven Adams,adamsst01,2023,2036,968,-1.312554257890703,3.778293152263991,2.465738894373289,5.160645683715922,-1.528545728266978,3.632099955448944,-.0433788582294791,2.848994176035172,2.805615317805693,2.74386222200002,2.74386222200002,0,-.1779629642608903,3.407577326768656,3.229614362507766,.0033367496925704
Bam Adebayo,adebaba01,2023,2634,1301,-2.113901738257437,2.936510847179247,.8226091089218097,3.761215096231532,2.303081853715617,6.064296949947149,-.9763523602315244,2.963921628803268,1.987569268571744,3.123378504511209,3.123378504511209,0,-1.120746710164809,2.936373698363351,1.815626988198542,-.6846518834161839
Ochai Agbaji,agbajoc01,2023,470,212,-1.106525693520902,.3407169086899633,-.7658087848309389,-4.599653568511972,2.113065444015765,-2.486588124496206,-1.944821009189745,.7623784899158901,-1.182442519273855,.1700742815240469,.1700742815240469,0,-1.793813442387167,-1.76820268590477,-3.562016128291937,.3124027523018796
Santi Aldama,aldamsa01,2023,1808,838,-.2340917901539468,.4768650208248828,.242773230670936,.2378165943296301,-.9652157826193413,-.7273991882897111,-.1557642687518204,.1472438163251036,-.0085204524267168,1.176009375514986,1.176009375514986,0,-.0788979911565618,1.519824352931071,1.44092636177451,.336346785232462
Nickeil Alexander-Walker,alexani01,2023,971,456,.4912109740749013,2.748615110595631,3.239826084670533,-4.277196513775696,1.167022824767828,-3.110173689007867,-.5159471690602411,2.61694149903051,2.100994329970268,1.136424994328274,1.136424994328274,0,.5341822108451694,1.668183382155217,2.202365593000386,.7024541459036117
Grayson Allen,allengr01,2023,2158,1015,-.0223914042300868,-.4822834839928941,-.5046748882229809,-1.389083866116609,1.711781010982678,.3226971448660694,-.2871426102925531,-.1065239506841452,-.3936665609766983,1.221823922723701,1.221823922723701,0,-.3320402341851376,-.130818735243713,-.4628589694288506,.1318062043978619
Jarrett Allen,allenja01,2023,2314,1148,-1.973875038655818,2.147300978174664,.1734259395188462,1.629360380339607,3.936636080755791,5.565996461095398,-1.352364816051948,2.587123806358278,1.234758990306331,2.322527151147466,2.322527151147466,0,-1.328238326056125,2.988342206231204,1.660103880175079,-.4935412575916486
Jose Alvarado,alvarjo01,2023,1782,840,.4295480313837143,3.358586993293838,3.788135024677552,4.367788899463101,5.640163802843646,10.00795270230675,1.249488318695501,4.00358913962451,5.253077458320011,3.433883566958935,3.433883566958935,0,1.04065093059734,3.70824983390549,4.74890076450283,.1186089319281995
Kyle Anderson,anderky01,2023,1692,791,-.7617230468574046,1.682543210050373,.9208201631929684,2.887489870668521,.262297859768656,3.149787730437177,-.0417935046820785,1.492320612685818,1.45052710800374,1.698286011530831,1.698286011530831,0,-.3089822007075349,1.447117460823744,1.138135260116209,.1842427965660409
Giannis Antetokounmpo,antetgi01,2023,2452,1145,2.584917732919076,1.638325468180953,4.223243201100029,-.0865961552120947,2.470202980217155,2.38360682500506,2.256577627334408,1.860888117112346,4.117465744446754,4.084891819367078,4.084891819367078,0,1.995215921974638,1.710777966540407,3.705993888515045,1.842673729326018
Thanasis Antetokounmpo,antetth01,2023,180,83,-10.89966955294941,.536461928943033,-10.36320762400638,-7.473054344962893,-4.017995833265737,-11.49105017822863,-10.80975101475971,-.4036375713106582,-11.21338858607037,-.3553745653408627,-.3553745653408627,0,-10.88750665449107,-2.179824784909006,-13.06733143940007,-.8529190163518586
Cole Anthony,anthoco01,2023,1303,635,.3702040623523013,.3497717103183203,.7199757726706216,1.06222734776069,-1.720749147942007,-.6585218001813176,.5734733705764427,-.034366766163173,.5391066044132696,1.053535851443309,1.053535851443309,0,.3953571044800409,-.4680289535253787,-.0726718490453378,-1.145029404924988
O.G. Anunoby,anunoog01,2023,2812,1366,-1.116867812117275,1.796079508177625,.6792116960603498,.1516107587575143,1.414305517941783,1.565916276699297,-.9202150060880608,1.833648977793206,.913433971705145,2.570845150052581,2.570845150052581,0,.4130295074816819,2.804844373526749,3.21787388100843,.700503168670543
Ryan Arcidiacono,arcidry01,2023,56,25,-6.674040412225779,6.363304224065337,-.3107361881604422,-16.70498349179431,17.43778582016123,.7328023283669189,-9.228053354090246,9.035080347370211,-.1929730067200346,.0327938126729847,.0327938126729847,0,-6.446624225085416,4.79545813834726,-1.651166086738156,.5551005357591442
Deni Avdija,avdijde01,2023,2099,1005,-2.134417170852905,.9691103649226478,-1.165306805930257,-1.630021340852796,-1.738890882554917,-3.368912223407713,-2.161521261219643,.4696880577004922,-1.691833203519151,.5436905234493659,.5436905234493659,0,-1.420456390743573,1.248409561902728,-.172046828840845,.207822358003399
Deandre Ayton,aytonde01,2023,2246,1093,-1.813942249533796,-1.439790426022565,-3.253732675556361,-3.929259204756461,-4.220601535181793,-8.149860739938255,-2.379951237155706,-2.120040481185562,-4.499991718341269,-.9747015894065202,-.9747015894065202,0,-1.94307563666561,-1.566143114854502,-3.509218751520113,-.1222236325914184
